series_title;my_finish_date;my_score;my_status;my_watched_episodes;my_start_date;series_episodes;series_type;series_animedb_id
Evangelion Movie 3: Q;2022-02-20;9;Completed;1;2022-02-20;1;Movie;3785
Fairy Tail;0000-00-00;0;Plan to Watch;0;0000-00-00;175;TV;6702
Fate/Grand Order: First Order;2020-05-22;7;Completed;1;2020-05-22;1;TV Special;34321
Fate/Grand Order: Zettai Majuu Sensen Babylonia;2020-03-26;8;Completed;21;2019-10-08;21;TV;38084
Fate/stay night;2019-10-27;7;Completed;24;2019-10-15;24;TV;356
Fate/stay night Movie: Heaven's Feel - I. Presage Flower;2019-10-28;8;Completed;1;2019-10-28;1;Movie;25537
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly;2020-05-22;9;Completed;1;2020-05-22;1;Movie;33049
Fate/stay night: Unlimited Blade Works;2019-10-11;8;Completed;12;2019-10-07;12;TV;22297
Fate/stay night: Unlimited Blade Works 2nd Season;2019-10-15;9;Completed;13;2019-10-11;13;TV;28701
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day;2020-07-31;7;Completed;1;2020-07-31;1;Special;31389
Fate/stay night: Unlimited Blade Works Prologue;2019-10-07;8;Completed;1;2019-10-07;1;TV Special;27821
Fate/Zero;2019-10-02;8;Completed;13;2019-10-01;13;TV;10087
Fate/Zero 2nd Season;2019-10-04;9;Completed;12;2019-10-02;12;TV;11741
FLCL;2020-07-30;10;Completed;6;2020-07-29;6;OVA;227
FLCL Alternative;2020-07-30;7;Completed;1;2020-07-30;1;Movie;35842
FLCL Progressive;2020-07-30;7;Completed;1;2020-07-30;1;Movie;33010
FLCL: Shoegaze;0000-00-00;0;Plan to Watch;0;0000-00-00;3;TV;51305
Fullmetal Alchemist: Brotherhood;2018-11-20;10;Completed;64;2018-11-14;64;TV;5114
Fullmetal Alchemist: The Sacred Star of Milos;2020-05-25;8;Completed;1;2020-05-25;1;Movie;9135
Futatsu no Sekai;2020-01-30;4;Completed;1;2020-01-30;1;Movie;35408
Gake no Ue no Ponyo;2021-01-05;9;Completed;1;2021-01-05;1;Movie;2890
Gibiate;2020-09-30;4;Completed;12;2020-07-17;12;TV;40074
Gin no Saji;2022-08-07;7;Completed;11;2022-08-03;11;TV;16918
Gin no Saji 2nd Season;2022-08-01;8;Completed;11;2022-07-29;11;TV;19363
Gintama;2024-08-11;9;Completed;201;2024-05-11;201;TV;918
Gokushufudou;2022-08-02;5;Completed;5;2022-08-02;5;ONA;43692
Golden Boy;2020-07-28;9;Completed;6;2020-07-28;6;OVA;268
Gosick;2023-07-04;8;Completed;24;2022-08-24;24;TV;8425
Grand Blue;2019-12-30;9;Completed;12;2019-12-29;12;TV;37105
Great Teacher Onizuka;0000-00-00;0;Plan to Watch;0;0000-00-00;43;TV;245
Gyakkyou Burai Kaiji: Hakairoku-hen;0000-00-00;0;Plan to Watch;0;0000-00-00;26;TV;10271
Gyakkyou Burai Kaiji: Ultimate Survivor;2024-05-09;7;Completed;26;2024-03-14;26;TV;3002
Hajime no Ippo;0000-00-00;0;Plan to Watch;0;0000-00-00;75;TV;263
Hanamonogatari;2020-09-22;8;Completed;5;2020-09-21;5;TV Special;21855
Hataraku Saibou Black;2021-03-27;8;Completed;13;2021-01-14;13;TV;41694
Heya Camp△;2020-03-26;7;Completed;12;2020-01-06;12;TV;38476
Heya Camp△: Sauna to Gohan to Sanrin Bike;2024-10-19;7;Completed;1;2024-10-19;1;Special;41061
Himouto! Umaru-chan;0000-00-00;0;Plan to Watch;0;0000-00-00;12;TV;28825
Hitoribocchi no Marumaru Seikatsu;2019-09-29;8;Completed;12;2019-09-27;12;TV;37614
Horimiya;2021-04-18;8;Completed;13;2021-01-15;13;TV;42897
Hotaru no Haka;2024-11-11;9;Completed;1;2024-11-11;1;Movie;578
Houkago Teibou Nisshi;2020-09-24;8;Completed;12;2020-04-12;12;TV;39730
Howl no Ugoku Shiro;2021-01-04;9;Completed;1;2021-01-04;1;Movie;431
Hunter x Hunter (2011);2020-01-24;10;Completed;148;2020-01-01;148;TV;11061
